filename	pdf	page	raw_ocr	label_after_correction	edit_distance
000_TN_k_UPD_36_ot_02.09.2022_p0_b15.jpg	TN_k_UPD_36_ot_02.09.2022	0	Экземпляр W	экземпляр	2
001_TN_k_UPD_36_ot_02.09.2022_p0_b48.jpg	TN_k_UPD_36_ot_02.09.2022	0	нестак	местах	2
002_TN_k_UPD_36_ot_02.09.2022_p2_b8.jpg	TN_k_UPD_36_ot_02.09.2022	2	{Научно-исследовательскпй	научно-исследовательский	2
003_TN_k_UPD_36_ot_02.09.2022_p2_b68.jpg	TN_k_UPD_36_ot_02.09.2022	2	значетшя	значения	2
004_TN_k_UPD_36_ot_02.09.2022_p2_b80.jpg	TN_k_UPD_36_ot_02.09.2022	2	уебование-накладную	требование-накладную	2
005_TN_k_UPD_41_ot_06.09.2022_p0_b21.jpg	TN_k_UPD_41_ot_06.09.2022	0	рузоотправнтель	грузоотправитель	2
006_TN_k_UPD_41_ot_06.09.2022_p0_b50.jpg	TN_k_UPD_41_ot_06.09.2022	0	~именование	наименование	2
007_TN_k_UPD_41_ot_06.09.2022_p0_b134.jpg	TN_k_UPD_41_ot_06.09.2022	0	Тягач с	тягач	2
008_TN_k_UPD_41_ot_06.09.2022_p1_b136.jpg	TN_k_UPD_41_ot_06.09.2022	1	Отмстки	отметка	2
009_TN_k_UPD_41_ot_06.09.2022_p2_b136.jpg	TN_k_UPD_41_ot_06.09.2022	2	Тягач c	тягач	2
010_TN_k_UPD_41_ot_06.09.2022_p3_b42.jpg	TN_k_UPD_41_ot_06.09.2022	3	Кладовщнк'	кладовщик	2
011_TN_k_UPD_41_ot_06.09.2022_p4_b47.jpg	TN_k_UPD_41_ot_06.09.2022	4	анменование	наименование	2
012_TN_k_UPD_41_ot_06.09.2022_p4_b92.jpg	TN_k_UPD_41_ot_06.09.2022	4	6 Перевозчик	перевозчик	2
013_TN_k_UPD_41_ot_06.09.2022_p4_b101.jpg	TN_k_UPD_41_ot_06.09.2022	4	Перевозчика)	перевозчики	2
014_TN_k_UPD_41_ot_06.09.2022_p4_b105.jpg	TN_k_UPD_41_ot_06.09.2022	4	Тягач c	тягач	2
015_TN_k_UPD_41_ot_06.09.2022_p5_b109.jpg	TN_k_UPD_41_ot_06.09.2022	5	(подпнсь	подпись	2
016_TN_k_UPD_41_ot_06.09.2022_p6_b10.jpg	TN_k_UPD_41_ot_06.09.2022	6	(109.2022	01.09.2022	2
017_TN_k_UPD_41_ot_06.09.2022_p6_b17.jpg	TN_k_UPD_41_ot_06.09.2022	6	Экземпляр N	экземпляр	2
018_TN_k_UPD_41_ot_06.09.2022_p6_b55.jpg	TN_k_UPD_41_ot_06.09.2022	6	трузон	грузов	2
019_TN_k_UPD_41_ot_06.09.2022_p6_b139.jpg	TN_k_UPD_41_ot_06.09.2022	6	Автопрафит"	автопрофит	2
020_TN_k_UPD_41_ot_06.09.2022_p6_b150.jpg	TN_k_UPD_41_ot_06.09.2022	6	Тягач c	тягач	2
021_TN_k_UPD_41_ot_06.09.2022_p8_b17.jpg	TN_k_UPD_41_ot_06.09.2022	8	95ЗЗ/Б	9508/б	2
022_TN_k_UPD_41_ot_06.09.2022_p8_b19.jpg	TN_k_UPD_41_ot_06.09.2022	8	(2,09.2022	02.09.2022	2
023_TN_k_UPD_41_ot_06.09.2022_p8_b145.jpg	TN_k_UPD_41_ot_06.09.2022	8	Тягач c	тягач	2
024_TN_k_UPD_41_ot_06.09.2022_p9_b87.jpg	TN_k_UPD_41_ot_06.09.2022	9	(2.09.20/22	02.09.2022	2
025_TN_k_UPD_41_ot_06.09.2022_p10_b9.jpg	TN_k_UPD_41_ot_06.09.2022	10	зявка)	заявка	2
026_TN_k_UPD_41_ot_06.09.2022_p10_b11.jpg	TN_k_UPD_41_ot_06.09.2022	10	(2,09.2022	02.09.2022	2
027_TN_k_UPD_41_ot_06.09.2022_p11_b85.jpg	TN_k_UPD_41_ot_06.09.2022	11	12.09.2(22	02.09.2022	2
028_TN_k_UPD_41_ot_06.09.2022_p11_b100.jpg	TN_k_UPD_41_ot_06.09.2022	11	21},52	20,52	2
029_TN_k_UPD_47_ot_09.01.2023_p0_b40.jpg	TN_k_UPD_47_ot_09.01.2023	0	3.Груз	груз	2
